location,entity_type,value,start,end
paragraph_348,ORGANIZATION,Cindus Corporation,55,73
paragraph_348,ORGANIZATION,Elantas Beck India Limited,75,101
paragraph_348,ORGANIZATION,Hindalco Industries Limited,103,130
paragraph_348,ORGANIZATION,Savli Copper Products Private Limited,152,189
paragraph_348,ORGANIZATION,Vedanta Limited,217,232
paragraph_429,ORGANIZATION,KSH International Private Limited,280,313
paragraph_441,ORGANIZATION,Bhandary Metal Extrusion Private Limited,103,143
paragraph_441,ORGANIZATION,KSH International Private Limited,149,182
paragraph_442,PERSON,Rajesh Kushal Hegde,87,106
paragraph_443,PERSON,Rohit Kushal Hegde,99,117
paragraph_444,PERSON,Rohit Kushal Hegde,95,113
paragraph_456,ORGANIZATION,Kanj and Co LLP,169,184
paragraph_457,PERSON,Karunakar N. Bhandary,73,94
paragraph_457,PERSON,Kushal Subbayya Hegde,153,174
paragraph_457,PERSON,Narayna B. Shetty,176,193
paragraph_457,PERSON,Jayaram N. Shetty,198,215
paragraph_464,ORGANIZATION,CARE Report prepared by Care Analytics and Advisory Private Limited,130,197
paragraph_488,PERSON,Kushal Subbayya Hegde,31,52
paragraph_488,PERSON,Rajesh Kushal Hegde,54,73
paragraph_488,PERSON,Rohit Kushal Hegde,75,93
paragraph_489,PERSON,Sandesh Bhagwat,30,45
paragraph_489,PERSON,Amod Joshi,52,62
paragraph_489,PERSON,Sarthak Malvadkar,69,86
paragraph_583,ORGANIZATION,Care Ratings Limited,119,139
paragraph_604,ORGANIZATION,Company from Bank,70,87
paragraph_618,PERSON,Pushpa Kushal Hegde,62,81
paragraph_618,PERSON,Rajesh Kushal Hegde,83,102
paragraph_618,PERSON,Rohit Kushal Hegde,104,122
paragraph_634,PERSON,Ajay Shriram Patil,386,404
paragraph_648,ORGANIZATION,Waterloo Motors Private Limited,70,101
paragraph_648,ORGANIZATION,KSH Project Management Services Private Limited,108,155
paragraph_648,ORGANIZATION,KSH Infra Park 5 Private Limited,163,195
paragraph_648,ORGANIZATION,KSH Infra Park VI Private Limited,202,235
paragraph_648,ORGANIZATION,KSH Distriparks Private Limited,241,272
paragraph_648,ORGANIZATION,KSH Integrated Logistics Private Limited,279,319
paragraph_648,ORGANIZATION,Kushal Motors and Electricals Private Limited,327,372
paragraph_648,ORGANIZATION,Waterloo Industrial Park I Private Limited,381,423
paragraph_648,PERSON,Waterloo Industrial Park,381,405
paragraph_648,ORGANIZATION,Waterloo Industrial Park II Private Limited,430,473
paragraph_648,ORGANIZATION,Waterloo Industrial Park III Private Limited,479,523
paragraph_648,ORGANIZATION,Waterloo Industrial Park IV Private Limited,530,573
paragraph_648,ORGANIZATION,Waterloo Industrial Park V Private Limited,581,623
paragraph_648,ORGANIZATION,Waterloo Industrial Park VI Private Limited,632,675
paragraph_648,ORGANIZATION,Waterloo Industrial Park VIII Private Limited,683,728
paragraph_648,ORGANIZATION,Waterloo Industrial Park IX Private Limited,735,778
paragraph_648,ORGANIZATION,Waterloo Industrial Park IX B Private Limited,786,831
paragraph_648,ORGANIZATION,Waterloo Industrial Park IX A Private Limited,840,885
paragraph_648,ORGANIZATION,KSH Infra Park IV Private Limited,899,932
paragraph_686,PERSON,Kushal Subbayya Hegde,47,68
paragraph_686,PERSON,Pushpa Hegde,88,100
paragraph_724,ORGANIZATION,Corporate Office of our Company KSH International Limited,0,57
paragraph_725,ADDRESS,Tower-2,5,12
paragraph_725,PERSON,Baner,57,62
paragraph_733,ADDRESS,Building Block A 1st and 2nd floor Near Akurdi Railway Station Akurdi,13,82
paragraph_742,PERSON,Sarthak Malvadkar,0,17
paragraph_745,PHONE,91 20 45053237,13,27
paragraph_746,EMAIL,Sarthak.malvadkar@kshinterantional.com,8,46
paragraph_754,ORGANIZATION,Nuvama Wealth Management Limited,0,32
paragraph_755,ADDRESS,Building No,17,28
paragraph_755,ADDRESS,Block,46,51
paragraph_757,PHONE,+91 22 40094400,11,26
paragraph_757,EMAIL,ksh.ipo@nuvama.com,34,52
paragraph_758,EMAIL,customerservice.mb@nuvama.com,27,56
paragraph_760,PHONE,000013004,26,35
paragraph_762,ORGANIZATION,ICICI Securities Limited,0,24
paragraph_776,ORGANIZATION,Nuvama Wealth Management Limited,0,32
paragraph_777,ADDRESS,Block,46,51
paragraph_781,EMAIL,ksh.ipo@nuvama.com,7,25
paragraph_786,ORGANIZATION,ICICI Securities Limited,0,24
paragraph_956,ADDRESS,Block,94,99
table_1_row_2_cell_2,ADDRESS,Tower 2,5,12
table_1_row_2_cell_5,EMAIL,cs.connect@kshinternational.com,8,39
table_1_row_2_cell_5,PHONE,91 20 45053237,53,67
table_1_row_9_cell_1,PERSON,Kushal Subbayya Hegde,0,21
table_1_row_10_cell_1,PERSON,Pushpa Kushal Hegde,0,19
table_1_row_11_cell_1,PERSON,Rajesh Kushal Hegde,0,19
table_1_row_12_cell_1,PERSON,Rohit Kushal Hegde,0,18
table_2_row_8_cell_8,EMAIL,ksh.ipo@nuvama.com,7,25
table_3_row_15_cell_1,ORGANIZATION,Nuvama Wealth Management Limited,0,32
table_3_row_15_cell_1,ADDRESS,Block,82,87
table_3_row_15_cell_1,PHONE,+91 22 40094400,163,178
table_3_row_15_cell_1,EMAIL,ksh.ipo@nuvama.com,187,205
table_3_row_15_cell_1,EMAIL,customerservice.mb@nuvama.com,256,285
table_3_row_15_cell_1,PHONE,000013004,359,368
table_3_row_15_cell_3,ORGANIZATION,ICICI Securities Limited,0,24
table_4_row_2_cell_2,ORGANIZATION,KSH International Limited,0,25
table_5_row_7_cell_2,ORGANIZATION,CARE Analytics and Advisory Private Limited,129,172
table_5_row_7_cell_2,ORGANIZATION,CARE Analytics and Advisory Private Limited,306,349
table_5_row_8_cell_2,PERSON,Kushal Subbayya Hegde,58,79
table_5_row_9_cell_2,PERSON,Sandesh Bhagwat,50,65
table_5_row_10_cell_2,PERSON,Amod Joshi,50,60
table_5_row_11_cell_2,PERSON,Sarthak Malvadkar,67,84
table_6_row_2_cell_2,ADDRESS,Tower 2,52,59
table_6_row_2_cell_2,PERSON,Baner,105,110
table_6_row_3_cell_2,ORGANIZATION,Waterloo Industrial Park VI Private Limited,0,43
table_6_row_11_cell_2,ORGANIZATION,KSH Project Management Services Private Limited,51,98
table_6_row_11_cell_2,ORGANIZATION,Kushal Motors and Electricals Private Limited,244,289
table_6_row_11_cell_2,ORGANIZATION,Waterloo Industrial Park I Private Limited,291,333
table_6_row_11_cell_2,PERSON,Waterloo Industrial Park,291,315
table_6_row_11_cell_2,ORGANIZATION,Waterloo Industrial Park II Private Limited,335,378
table_6_row_11_cell_2,ORGANIZATION,Waterloo Industrial Park III Private Limited,380,424
table_6_row_11_cell_2,ORGANIZATION,Waterloo Industrial Park IV Private Limited,426,469
table_6_row_11_cell_2,ORGANIZATION,Waterloo Industrial Park V Private Limited,471,513
table_6_row_11_cell_2,ORGANIZATION,Waterloo Industrial Park VI Private Limited,515,558
table_6_row_11_cell_2,ORGANIZATION,Waterloo Industrial Park VIII Private Limited,560,605
table_6_row_11_cell_2,ORGANIZATION,Waterloo Industrial Park IX Private Limited,607,650
table_6_row_11_cell_2,ORGANIZATION,Waterloo Industrial Park IX B Private Limited,652,697
table_6_row_14_cell_2,ORGANIZATION,CARE Analytics and Advisory Private Limited,34,77
table_6_row_16_cell_2,PERSON,Rohit Kushal Hegde,50,68
table_6_row_18_cell_2,PERSON,Rajesh Kushal Hegde,45,64
table_6_row_23_cell_2,PERSON,Kushal Subbayya Hegde,0,21
table_6_row_23_cell_2,PERSON,Pushpa Kushal Hegde,23,42
table_6_row_25_cell_2,PERSON,Kushal Subbayya Hegde,0,21
table_6_row_25_cell_2,PERSON,Pushpa Kushal Hegde,23,42
table_6_row_25_cell_2,PERSON,Rajesh Kushal Hegde,44,63
table_6_row_25_cell_2,PERSON,Rohit Kushal Hegde,65,83
table_6_row_25_cell_2,ORGANIZATION,Kanchenjunga Family Trust and Waterloo Industrial Park VI Private Limited,221,294
table_6_row_26_cell_2,PERSON,Kushal Subbayya Hegde,0,21
table_6_row_26_cell_2,PERSON,Pushpa Kushal Hegde,23,42
table_6_row_26_cell_2,PERSON,Rajesh Kushal Hegde,44,63
table_6_row_26_cell_2,PERSON,Rohit Kushal Hegde,68,86
table_6_row_28_cell_2,PERSON,Rajesh Kushal Hegde,0,19
table_7_row_5_cell_2,PERSON,Rohit Kushal Hegde,0,18
table_10_row_7_cell_2,ORGANIZATION,ICICI Securities Limited,89,113
table_11_row_19_cell_2,ORGANIZATION,ICICI Securities Limited,0,24
table_12_row_4_cell_2,ORGANIZATION,Nuvama Wealth Management Limited,0,32
table_12_row_7_cell_2,PERSON,Kushal Subbayya Hegde,218,239
table_12_row_7_cell_2,PERSON,Pushpa Kushal Hegde,329,348
table_12_row_7_cell_2,PERSON,Rajesh Kushal Hegde,436,455
table_12_row_7_cell_2,PERSON,Rohit Kushal Hegde,546,564
table_24_row_4_cell_2,PERSON,Kushal Subbayya Hegde,0,21
table_24_row_5_cell_2,PERSON,Pushpa Kushal Hegde,0,19
table_24_row_6_cell_2,PERSON,Rajesh Kushal Hegde,0,19
table_33_row_2_cell_1,PERSON,Kushal Subbayya Hegde,0,21
table_34_row_2_cell_1,PERSON,Pushpa Kushal Hegde,0,19
table_34_row_3_cell_1,PERSON,Rajesh Kushal Hegde,0,19
table_36_row_2_cell_1,PERSON,Kushal Subbayya Hegde,0,21
table_36_row_3_cell_1,PERSON,Pushpa Kushal Hegde,0,19
table_36_row_4_cell_1,PERSON,Rajesh Kushal Hegde,0,19
table_38_row_2_cell_2,PERSON,Kushal Subbayya Hegde,0,21
table_38_row_3_cell_2,PERSON,Kushal Subbayya Hegde,0,21
table_38_row_4_cell_2,PERSON,Kushal Subbayya Hegde,0,21
table_38_row_5_cell_2,PERSON,Pushpa Kushal Hegde,0,19
table_38_row_6_cell_2,PERSON,Pushpa Kushal Hegde,0,19
table_38_row_7_cell_2,PERSON,Pushpa Kushal Hegde,0,19
table_54_row_8_cell_4,PERSON,Rajesh Kushal Hegde,34,53
table_54_row_11_cell_4,PERSON,Rajesh Kushal Hegde,34,53
table_70_row_2_cell_2,PERSON,Kushal Subbayya Hegde,0,21
table_70_row_3_cell_2,PERSON,Pushpa Kushal Hegde,0,19
table_70_row_4_cell_2,PERSON,Rajesh Kushal Hegde,0,19
table_70_row_5_cell_2,PERSON,Rohit Kushal Hegde,0,18
table_71_row_2_cell_1,PERSON,Kushal Subbayya Hegde,0,21
table_71_row_3_cell_1,PERSON,Rajesh Kushal Hegde,0,19
table_71_row_4_cell_1,PERSON,Rohit Kushal Hegde,0,18
table_71_row_7_cell_1,PERSON,Ajay Shriram Patil,0,18
